Amount,Amount_transformed,Amount_prob_0,Amount_prob_1,Amount_prob_2
14.61,-0.06240835816290891,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
197.04,0.03708497907173597,0.0,1.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
23.25,0.005746296651929208,1.0,0.0,0.0
8.99,-0.10674043687348649,1.0,0.0,0.0
8.36,-0.11171004712040176,1.0,0.0,0.0
24.18,-0.36004192637370186,0.0,1.0,0.0
7.57,-0.11794178060462886,1.0,0.0,0.0
20.87,-0.013027786503084062,1.0,0.0,0.0
39.95,0.13748040954635013,1.0,0.0,0.0
10.59,-0.09411920450036831,1.0,0.0,0.0
8.99,-0.10674043687348649,1.0,0.0,0.0
11.5,-0.08694087858815736,1.0,0.0,0.0
129.0,-0.11922946409908197,0.0,1.0,0.0
40.0,0.13787482305801005,1.0,0.0,0.0
87.9,0.5157229672282353,1.0,0.0,0.0
8.99,-0.10674043687348649,1.0,0.0,0.0
49.4,0.2120245632500793,1.0,0.0,0.0
15.0,-0.05933193277196136,1.0,0.0,0.0
155.98,-0.05724587096638552,0.0,1.0,0.0
68.4,0.3619016976808576,1.0,0.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
9.95,-0.0991676974496156,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
102.03,-0.1811900833277263,0.0,1.0,0.0
307.13,0.2900046887818381,0.0,1.0,0.0
19.99,-0.019969464308299077,1.0,0.0,0.0
1723.37,0.3087137433719949,0.0,0.0,1.0
14.9,-0.06012075979528124,1.0,0.0,0.0
25.83,0.026098033853582243,1.0,0.0,0.0
10.59,-0.09411920450036831,1.0,0.0,0.0
384.99,0.4688795057318659,0.0,1.0,0.0
56.05,0.2644815603008517,1.0,0.0,0.0
27.99,0.04313669755729178,1.0,0.0,0.0
189.0,0.018613960213808643,0.0,1.0,0.0
104.98,-0.1744127816323425,0.0,1.0,0.0
